GRP_ID,BLIDS_INC,AREA_GROSS_EXT_SUM,NAME,PULSE_ID
152,<Null>,682.4,F/S Housing A,
153,<Null>,2792.09,F/S Housing B,
154,<Null>,,F/S Housing C,
617,<Null>,0,F/S Housing D,
629,<Null>,0,F/S Housing E,
586,<Null>,7277.4,F/S Housing F,
007-01,"007-10,007-07,007-06,007-05,007-04,007-09,007-03,007-02,007-01,007-08",5403.24,Fairview Housing,
007-11,"007-13,007-12,007-11",2208.56,Fairview Housing,
007-14,"007-18,007-16,007-14,007-15,007-17",2564.15,Fairview Housing,
007-19,"007-22,007-21,007-20,007-19",2065.16,Fairview Housing,
007-23,"007-25,007-24,007-23",2209.09,Fairview Housing,
007-26,"007-32,007-35,007-34,007-31,007-30,007-29,007-28,007-27,007-26,007-33",5619.9,Fairview Housing,
373,<Null>,2082.67,Feric,
380,<Null>,398.49,Fire Hall,
337,<Null>,2227.4,First Nations Longhouse,
449,"449,449-1",5961.59,FNH,339
825,<Null>,0,Folio,
827-1,<Null>,0,Folio 1,
827-2,<Null>,0,Folio 2,
827-3,,0,Folio 3,
827-4,<Null>,0,Folio 4,
826,<Null>,0,Folio TH,
353,<Null>,26705.19,Forestry,332
389,<Null>,193.76,Forestry Field House,
372,<Null>,11297.24,Forintek,
562,<Null>,7880.45,Frank Forward,341
553,<Null>,0,Fraser Hall,
52,<Null>,17296.14,Fraser River Parkade,
921,<Null>,0,Fraternity Village 1,
922,<Null>,0,Fraternity Village 2,
924,<Null>,0,Fraternity Village 4,
925,<Null>,0,Fraternity Village 5,
926,<Null>,0,Fraternity Village 6,
927,<Null>,0,Fraternity Village 7,
928,<Null>,0,Fraternity Village 8,
376,"376,376-1",3885.32,Frederic Wood,
523-2,"523-2,525-2",6221.57,Friedman,349
874,<Null>,8187.65,Gage Apartments,
869-1,<Null>,5172.75,Gage Common Block,
872-2,<Null>,3618.75,Gage Court,
872-1,<Null>,10138.55,Gage East Tower,
869-3,<Null>,10137.7,Gage North Tower,
